ONFT Purchased,Buyer,Target Marketcap (ETH),Current Marketcap (ETH)
2027,0xC7e61c535D8462e4753160959895a007c93cA9e0,277.5,0.849205262
1486,0x0799442CE0f90F8837fdeEce82Cd2735625B4bf9,,
1081,0x2FE7d879e342FEe5f1d04BfEdAf35Bb9D4fA5b89,Presale tokens left,Cost per token (eth)
946,0x64DcbEaD3B25B94c1C07158c8a6aD6517B95513E,21894,0.012674705
811,0x61E0841d103D77325e7743d1ff7117efE7c2C9f6,,
675,0xDD0DDAd1cA7B57aCAc3E1eD2ceAC6ebC5526431a,,
662,0xA14964479Ebf9cD336011ad80652b08CD83dFE3A,,
540,0x2e403B969a64BdD1CA18fE10BABA4546957bc31e,,
540,0x9Ca2C56C0F876108A5ec1C518Baad5b86E651FB3,,
540,0x8aB83793cAFe1f88D3C875187a70344c31652c22,,
540,0x9d1b972e7ceE2317e24719DE943b2da0B9435454,,
405,0x0799442CE0f90F8837fdeEce82Cd2735625B4bf9,,
405,0xaFD0B1131F1a12C7ba707E391fdd1Ee67C34552b,,
405,0x93f5af632Ce523286e033f0510E9b3C9710F4489,,
392,0x0799442CE0f90F8837fdeEce82Cd2735625B4bf9,,
270,0xd050a2413ceeB47121674B1235846359F2b2c5F7,,
270,0xBB6C61C862624e6F24dcCcE55881954AA73fEA4A,,
270,0xD9Ed88862F0Ebec8750E0c34d5985A1B87e85Ed9,,
270,0xD9Ed88862F0Ebec8750E0c34d5985A1B87e85Ed9,,
243,0xA1a41029ca71cbCf686975f89e773d0f796b2e64,,
189,0x10cB78034a2Bd29752B4Bc317e2c512BD1F66Fee,,
169,0xB24cc4E1903C4bDBe694a095924B5389eA460E8D,,
152,0x54487eB7d8745d72562f09B4145ed85aB18C0444,,
135,0x8765c2caD53C098545A39F541A1626B6B6F58851,,
135,0x3a25473a5098F8B5cE1Bd383416801bFf28575B9,,
135,0xae35fF29b9c40eE6DBAC59aA4F28d7b13C4f00b0,,
135,0xd050a2413ceeB47121674B1235846359F2b2c5F7,,
135,0x1c70D3a0A945a5146cB852C47C9f93cA0b59aFb1,,
135,0x736011B7d04d8a014EFdAe6a653E3405f3CDC720,,
135,0x9Ca2C56C0F876108A5ec1C518Baad5b86E651FB3,,
130,0x1DA58933f381EDf6f09e9FaF2ca789b48e58BaFB,,
130,0x0401cbd55495A85996a428b6C2C2551a5a4600Ff,,
130,0xA914c3f59ABc6deAe86e39d2ae538c2ffbE95562,,
130,0x91E3D889E9fF9B035dE6ceCfCF3cdf1F6e57Eaad,,
95,0xB559d0A29a07c8a2a11D2B9328D7EfDE5564229E,,
76,0xaa9f2dfdFAf058B26D19d1334347B516B6576EA9,,
75,0x8fcc16d379a066588161c7bafb2532782f96209e,,
70,0x55C3E66a54DA4fF525e9aa5F3229b02cCa381701,,
67,0x7866D3F48ceC08A833bFD2A4a662797eA5B3A39C,,
67,0x72a5Ba942a401C4BD08a32963B75f971292213a8,,
54,0xD61B8aDb6FABb2b6C83bD597a7c5108B6Fc014F4,,
50,0x4Aa6124C7dAF7d2000a421818640f911f52961B4,,
45,0x96942E59d8f8B5b92c257bc9c8e6C36B73EBB50D,,
44,0x61fF15Db4fF75b180CDc3351F71FCC288606366F,,
42,0x61fF15Db4fF75b180CDc3351F71FCC288606366F,,
40,0xB559d0A29a07c8a2a11D2B9328D7EfDE5564229E,,
38,0x19baf84c9e838eedc9989e33314a94acab5c5dfab0a8989737972f6a2af2901e,,
15,0xB3B50Ad5f083f0581c58B7F5353eaa725B12A472,,
15,0x47eFcEef95c9ACE19d8caC6f70FB00A5d1F035D3,,
15,0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,,
15,0x5F3E4b4D6D334Be1Ed04e8Acef3f554a84978Ac9,,
15,0x56eBf8c025BE621fF3763C664cA34aEF60304661,,
15,0xA14964479Ebf9cD336011ad80652b08CD83dFE3A,,
,,,
,,,
,,,
,,,
,,,
15606,,,
